"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2018","1","4","Midwest","6","52","TCU","Syracuse","57","11","B12","ACC"
"2018","1","4","Midwest","7","83","Rhode Island","Oklahoma","78","10","A10","B12"
"2018","1","4","Midwest","8","94","Seton Hall","NC State","83","9","BE","ACC"
"2018","1","4","Midwest","1","76","Kansas","Pennsylvania","60","16","B12","Ivy"
"2018","2","1","South","2","73","Cincinnati","Nevada","75","7","Amer","MWC"
"2018","2","1","South","3","62","Tennessee","Loyola Chicago","63","11","SEC","MVC"
"2018","2","1","South","13","75","Buffalo","Kentucky","95","5","MAC","SEC"
"2018","2","1","South","16","43","UMBC","Kansas St","50","9","AE","B12"
"2018","2","2","West","2","65","North Carolina","Texas A&M","86","7","ACC","SEC"
"2018","2","2","West","3","64","Michigan","Houston","63","6","B10","Amer"
"2018","2","2","West","4","90","Gonzaga","Ohio St","84","5","WCC","B10"
"2018","2","2","West","1","70","Xavier","Florida St","75","9","BE","ACC"
"2018","2","3","East","2","76","Purdue","Butler","73","10","B10","BE"
"2018","2","3","East","3","69","Texas Tech","Florida","66","6","B12","SEC"
"2018","2","3","East","13","71","Marshall","West Virginia","94","5","CUSA","B12"
"2018","2","3","East","1","81","Villanova","Alabama","58","9","BE","SEC"
"2018","2","4","Midwest","2","87","Duke","Rhode Island","62","7","ACC","A10"
"2018","2","4","Midwest","3","53","Michigan St","Syracuse","55","11","B10","ACC"
"2018","2","4","Midwest","4","53","Auburn","Clemson","84","5","SEC","ACC"
"2018","2","4","Midwest","1","83","Kansas","Seton Hall","79","8","B12","BE"
"2018","3","1","South","7","68","Nevada","Loyola Chicago","69","11","MWC","MVC"
"2018","3","1","South","9","61","Kansas St","Kentucky","58","5","B12","SEC"
"2018","3","2","West","9","75","Florida St","Gonzaga","60","4","ACC","WCC"
"2018","3","2","West","7","72","Texas A&M","Michigan","99","3","SEC","B10"
"2018","3","3","East","2","65","Purdue","Texas Tech","78","3","B10","B12"
"2018","3","3","East","1","90","Villanova","West Virginia","78","5","BE","B12"
"2018","3","4","Midwest","2","69","Duke","Syracuse","65","11","ACC","ACC"
"2018","3","4","Midwest","1","80","Kansas","Clemson","76","5","B12","ACC"
"2018","4","1","South","9","62","Kansas St","Loyola Chicago","78","11","B12","MVC"
"2018","4","2","West","9","54","Florida St","Michigan","58","3","ACC","B10"
"2018","4","3","East","1","71","Villanova","Texas Tech","59","3","BE","B12"
"2018","4","4","Midwest","1","85","Kansas","Duke","81","2","B12","ACC"
"2018","5","1","Final Four","11","57","Loyola Chicago","Michigan","69","3","MVC","B10"
"2018","5","2","Final Four","1","95","Villanova","Kansas","79","1","BE","B12"
"2018","6","1","Championship","3","62","Michigan","Villanova","79","1","B10","BE"
"2019","1","1","East","2","76","Michigan St","Bradley","65","15","B10","MVC"
"2019","1","1","East","3","79","LSU","Yale","74","14","SEC","Ivy"
"2019","1","1","East","4","66","Virginia Tech","St Louis","52","13","ACC","A10"
"2019","1","1","East","5","76","Mississippi St","Liberty","80","12","SEC","BSth"
"2019","1","1","East","6","79","Maryland","Belmont","77","11","B10","OVC"
"2019","1","1","East","7","76","Louisville","Minnesota","86","10","ACC","B10"
"2019","1","1","East","8","58","VCU","Central Florida","73","9","A10","Amer"
"2019","1","1","East","1","85","Duke","North Dakota St","62","16","ACC","Sum"
"2019","1","2","West","2","74","Michigan","Montana","55","15","B10","BSky"
"2019","1","2","West","4","76","Florida St","Vermont","69","13","ACC","AE"
"2019","1","2","West","5","64","Marquette","Murray St","83","12","BE","OVC"
"2019","1","2","West","6","91","Buffalo","Arizona St","74","11","MAC","P12"
"2019","1","2","West","7","61","Nevada","Florida","70","10","MWC","SEC"
"2019","1","2","West","8","69","Syracuse","Baylor","78","9","ACC","B12"
"2019","1","2","West","1","87","Gonzaga","Fairleigh Dickinson","49","16","WCC","NEC"
"2019","1","3","South","2","77","Tennessee","Colgate","70","15","SEC","Pat"
"2019","1","3","South","3","61","Purdue","Old Dominion","48","14","B10","CUSA"
"2019","1","3","South","4","64","Kansas St","UC Irvine","70","13","B12","BW"
"2019","1","3","South","5","54","Wisconsin","Oregon","72","12","B10","P12"
"2019","1","3","South","6","61","Villanova","St Marys","57","11","BE","WCC"
"2019","1","3","South","7","72","Cincinnati","Iowa","79","10","Amer","B10"
"2019","1","3","South","8","72","Ole Miss","Oklahoma","95","9","SEC","B12"
"2019","1","3","South","1","71","Virginia","Gardner Webb","56","16","ACC","BSth"
"2019","1","4","Midwest","5","78","Auburn","New Mexico St","77","12","SEC","WAC"
"2019","1","4","Midwest","1","88","North Carolina","Iona","73","16","ACC","MAAC"
"2019","1","4","Midwest","2","79","Kentucky","Abilene Christian","44","15","SEC","Slnd"
"2019","1","4","Midwest","3","84","Houston","Georgia St","55","14","Amer","SB"
"2019","1","4","Midwest","4","87","Kansas","Northeastern","53","13","B12","CAA"
"2019","1","4","Midwest","6","59","Iowa St","Ohio St","62","11","B12","B10"
"2019","1","4","Midwest","7","84","Wofford","Seton Hall","68","10","SC","BE"
"2019","1","4","Midwest","8","61","Utah St","Washington","78","9","MWC","P12"
"2019","2","1","South","2","70","Michigan St","Minnesota","50","10","B10","B10"
"2019","2","1","South","3","69","LSU","Maryland","67","6","SEC","B10"
"2019","2","1","South","4","67","Virginia Tech","Liberty","58","12","ACC","BSth"
"2019","2","1","South","1","77","Duke","Central Florida","76","9","ACC","Amer"
"2019","2","2","West","2","64","Michigan","Florida","49","10","B10","SEC"
"2019","2","2","West","3","78","Texas Tech","Buffalo","58","6","B12","MAC"
"2019","2","2","West","4","90","Florida St","Murray St","62","12","ACC","OVC"
"2019","2","2","West","1","83","Gonzaga","Baylor","71","9","WCC","B12"
"2019","2","3","East","2","83","Tennessee","Iowa","77","10","SEC","B10"
"2019","2","3","East","3","87","Purdue","Villanova","61","6","B10","BE"
"2019","2","3","East","13","54","UC Irvine","Oregon","73","12","BW","P12"
"2019","2","3","East","1","63","Virginia","Oklahoma","51","9","ACC","B12"
"2019","2","4","Midwest","2","62","Kentucky","Wofford","56","7","SEC","SC"
"2019","2","4","Midwest","3","74","Houston","Ohio St","59","11","Amer","B10"
"2019","2","4","Midwest","4","75","Kansas","Auburn","89","5","B12","SEC"
